,Gene,PCA_feat
182,249,"[0.8602948519547635, -0.48873647088586364, -0.38355034826161827, 0.5691976709100327, -0.12775917965861652]"
183,250,"[0.8720477819390767, -0.47635491438393973, -0.4496613389763291, 0.5660610256933846, -0.11057227119220563]"
184,251,"[0.7469859025254262, -0.5986785054836548, 0.05178242145634088, 0.5847526898210218, 0.09812650684668894]"
185,253,"[-0.44245756379117734, -0.10892018084706749, 0.06910213276098029, 0.003398237420484122, -0.0738810423838203]"
186,257,"[-0.3252391491578773, 0.02050498974861176, -0.41359110675519284, -0.011587724306784071, -0.1874475646493774]"
187,258,"[0.47949041678926485, -0.3190313285353163, 0.1453218190112904, -0.3361342374179364, 0.08346832493865854]"
188,259,"[-0.31932058382515693, 0.014388388449089145, -0.47187667657241905, -0.018278769993624468, -0.18509870289414304]"
189,261,"[-0.35262274377316044, -0.02075569226589685, -0.2959843885139003, -0.01036698382769837, -0.2140427990579478]"
190,262,"[1.063304565072253, 0.35626264574090105, 0.0017704725565932105, 0.7972283735746278, 0.05369792727254623]"
191,263,"[-0.36397226528070736, -0.029233579947097483, -0.29370039735224934, -0.011664558937739959, -0.10887478508145494]"
192,265,"[-0.29666767069223476, 0.08360462306388002, -0.43887746306911174, 0.0002144581741373244, -0.2489103269162121]"
193,266,"[-0.4284630946597165, -0.0931013849693212, -0.021108927460321926, -0.0010403553029570364, -0.028958791713421368]"
194,267,"[-0.33133950188521893, 0.0014696263383363157, -0.40381817502476697, -0.015095839491767201, -0.2045048135970993]"
195,268,"[-0.2915335726651629, 0.04201141330639501, -0.5906134976538076, -0.022939033115756433, -0.21685945473574395]"
196,269,"[0.5547527508442753, -0.24803410109915353, -0.07457241036167961, -0.39964674377277704, -0.020605183169494428]"
197,270,"[0.8424731822445692, -0.5063525626011467, -0.31343926354322743, 0.5717031349842903, -0.09641226504564802]"
198,271,"[0.8128540933736783, -0.5365047829117411, -0.17520342156147747, 0.5774791040908688, -0.08583823478464102]"
199,272,"[0.7678418019625485, -0.5807182756634989, 0.008348300974467333, 0.5844193162685744, -0.016853264027037893]"
200,273,"[-0.3826277129573915, -0.04788227792600408, -0.21207556787480727, -0.008400578744020639, -0.09130772777528653]"
201,274,"[-0.13333846799306726, 0.7081639620948089, -0.25927818312506856, 0.15923955398603495, -0.09867872396439653]"
202,275,"[-0.3354109193243032, -0.002668619974719831, -0.352782542886077, -0.011607593996504644, -0.2590585143125017]"
203,276,"[-0.3259997714095962, 0.005346814656865398, -0.3998586644133312, -0.014089374017883242, -0.2632414597732332]"
204,277,"[-0.32611931234163377, 0.005337390736360246, -0.3977777945234336, -0.01391068096309596, -0.2654080448237272]"
205,278,"[-0.3254193294993998, 0.007860062854835616, -0.39714036965218186, -0.013277803021376225, -0.2651565470716444]"
206,279,"[-0.394728688843089, -0.06095630525814099, -0.14336188146488554, -0.005196248132849026, -0.11145119948603528]"
207,280,"[-0.43341201565910714, -0.09998068099970693, 0.03131735160623333, 0.0019412838381123205, -0.08595140686465533]"
208,282,"[-0.45292257947586634, -0.11617688115593461, 0.06197285313015433, 0.0015620949163646896, 0.04151506366631575]"
209,283,"[-0.23778986035192665, 0.28343391356976727, -0.44949360770254143, 0.04503582147124111, -0.1654627470469066]"
210,284,"[0.8609722809434202, 0.677853907007569, -0.2736773474088903, -0.15525429095062207, -0.06125185074295549]"
211,285,"[0.8410987866223385, 0.5800435645120249, -0.35093501953139816, -0.18457856389525226, -0.07097076566429247]"
212,286,"[-0.03699171909984823, 0.946658345823899, -0.3458549639583065, 0.20519565720333657, -0.1995096322912038]"
213,287,"[-0.11464061850797948, 0.8718624919448229, -0.053513335330930424, 0.2154851812702506, -0.032033901382921656]"
214,288,"[-0.08746682033270278, 0.8985454887226751, -0.16418510432734998, 0.2113048977632294, -0.07395587172938399]"
