,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
288,C2607914,0.0625,0.008333333,-0.00064713,3.236363636,0.6073401
289,C1271104,0.032258065,0.010047594,-0.004017499,2.865469858,0.3899129
290,C0242383,0.119047619,0.030197445,-0.004342613,3.093077601,0.917594
291,C0007193,0.14893617,0.040703053,-0.013290574,2.731937603,0.2394293
292,C3160731,0.048780488,0.014634146,-0.002638113,3.043103448,0.9959732
293,C0080178,0.181818182,0.127272727,-0.001757204,2.466666667,0.3817052
294,C0007194,0.428571429,0.1,-0.009333216,2.790598291,0.1479214
295,C0752166,0.636363636,0.177489177,-0.001518308,2.797619048,0.1038529
296,C0022548,0.085714286,0.042016807,-0.00794444,2.416446208,0.193729
297,C0025202,0.450980392,0.011832319,-0.042517726,3.267705827,0.04972686
298,C3809874,0.523809524,0.123809524,-0.007963287,2.707438017,0.0919546
299,C0032285,0.212765957,0.049953747,-0.005821056,3.068769231,0.02102817
300,C0033805,0.272727273,0.145454545,-0.001304097,2.7,0.7441715
301,C0027708,0.1875,0.066666667,-0.004407761,3.001683502,0.1549291
302,C1838951,0.714285714,0.450549451,-0.001989916,3.06,0.000157123
303,C1140680,0.466666667,0.104761905,-0.004166656,2.79047619,0.05622516
304,C0031511,0.3125,0.133333333,-0.003155255,2.674545455,0.8522233
305,C1336708,0.083333333,0.047101449,-0.002543127,2.842105263,0.4024019
306,C0020619,0.142857143,0.087912088,-0.000673804,3.151785714,0.2123214
307,C0026650,0.142857143,0.038095238,-0.002169367,2.810457516,0.7202715
308,C1261473,0.307692308,0.179487179,-0.006276126,2.375,0.8797582
309,C0024232,0.214285714,0.098901099,-0.003761563,2.651515152,0.3684381
310,C0020615,0.1,0.177777778,-0.001786807,2.422222222,0.5306679
311,C0002895,0.2,0.155555556,-0.002658894,2.611111111,0.292228
312,C0238288,0.153846154,0.076923077,-0.002902441,2.604166667,0.08391935
313,C1527249,0.138888889,0.023809524,-0.00439318,2.980634921,0.9916762
314,C0004153,0.290909091,0.041077441,-0.012846743,2.814749053,0.036325
315,C0004096,0.14159292,0.013274336,-0.016616874,3.210005597,0.8805013
316,C0949658,0.260869565,0.071146245,-0.002285302,3.018925519,0.7848518
317,C0037286,0.632653061,0.071428571,-0.018207796,3.001478495,0.334349
318,C0036572,0.09375,0.014912281,-0.00941731,3.062162652,0.0848537
319,C0002395,0.431137725,0.014068249,-0.028354337,3.403283874,0.899616
320,C0567312,0.047619048,0.023809524,-0.002118835,2.882352941,0.4420908
321,C0027672,0.6875,0.121453901,-0.018007725,2.527441077,0.003495649
322,C0017178,0.166666667,0.060606061,-0.001404704,2.933333333,0.08899683
323,C0268237,0.294117647,0.036764706,-0.000809857,3.0,0.9788887
324,C0035304,0.266666667,0.095238095,-0.002311837,2.966666667,0.2198556
325,C0035309,0.095238095,0.066666667,-0.004479028,2.663157895,0.4709427
326,C0268583,0.2,0.155555556,-0.001472821,2.571428571,0.3813726
327,C0011616,0.23943662,0.024547284,-0.012644728,3.010680333,0.7786979
328,C0011615,0.137254902,0.025098039,-0.004086703,3.131746032,0.9421222
329,C0010068,0.132352941,0.013608428,-0.006208245,3.224448186,0.9270785
330,C0029456,0.373134328,0.029850746,-0.013535181,2.894367201,0.3252675
331,C0018800,0.626865672,0.048846676,-0.015804163,2.954968944,0.4186141
332,C0018801,0.4125,0.031012658,-0.012374593,3.113496072,0.7502571
333,C0677776,1.0,0.472527473,-0.008338911,0.0,0.04878294
334,C1269683,0.048780488,0.013414634,-0.002471898,3.120689655,0.9999092
335,C0037274,0.075757576,0.019114219,-0.0088613,3.004567622,0.02185068
336,C0349788,0.4,0.244444444,-0.003205608,2.369047619,0.1423001
337,C0021368,0.290909091,0.019516264,-0.01314425,3.012414499,0.3120243
338,C0011882,0.230769231,0.166666667,-0.002745044,2.490909091,0.972455
339,C0021364,0.333333333,0.046464646,-0.01242932,3.204016354,0.1794504
340,C0042373,0.125,0.083333333,-0.002032915,2.903846154,0.08879035
341,C0021361,0.333333333,0.111111111,-0.01041387,2.960580065,0.1083504
342,C0023418,0.375,0.086693548,-0.009636187,2.553819444,0.2482728
343,C0009324,0.14893617,0.015557081,-0.012829484,3.107606679,0.9981017
344,C0021400,0.288461538,0.029411765,-0.004361522,3.314708995,0.7470464
345,C0027707,0.2,0.177777778,-0.001150087,2.8125,0.1445884
346,C1527336,0.166666667,0.136363636,-0.001875755,2.763636364,0.4029131
347,C0455806,0.090909091,0.018181818,-0.001410576,3.145454545,0.09862119
348,C0008074,0.053571429,0.020779221,-0.004533063,2.939613527,0.6467946
349,C0038587,0.169811321,0.034107402,-0.006437292,3.30400596,0.8807011
350,C1955869,0.181818182,0.090909091,-0.003030176,2.354166667,0.5899105
351,C0002736,0.347222222,0.026995305,-0.018185213,3.076761134,0.09517155
352,C0008073,0.1,0.042105263,-0.003297576,2.68627451,0.04334964
353,C0009952,0.083333333,0.060606061,-0.001697909,3.236363636,0.80332
354,C0008370,0.20754717,0.021770682,-0.007828713,2.988733489,1.0
355,C0020542,0.09375,0.04233871,-0.00355049,3.121082621,0.3137944
356,C0238463,0.592592593,0.0997151,-0.012851202,2.352083333,0.24096
357,C0455988,0.230769231,0.08974359,-0.000685608,3.244444444,0.3028252
358,C0400966,0.071428571,0.031358885,-0.006174583,2.973809524,0.1876692
359,C0009319,0.375,0.09057971,-0.00550576,3.002777778,0.1810749
360,C0699790,0.64,0.116666667,-0.008739338,2.628472222,0.070163
361,C0020445,0.4375,0.133333333,-0.001401844,2.761904762,0.1230435
362,C0003123,0.266666667,0.114285714,-0.00151138,3.045454545,0.5286891
363,C0149931,0.090909091,0.026515152,-0.005382971,2.999470899,0.9843914
364,C0005695,0.567567568,0.03046683,-0.031672008,3.115489556,0.03929361
365,C0018784,0.181818182,0.109090909,-0.002098114,2.678571429,0.1987659
366,C0524620,0.068181818,0.021141649,-0.004923503,2.863624339,0.9219256
367,C0018781,0.090909091,0.012987013,-0.000194941,2.916666667,0.9993405
368,C0023467,0.495652174,0.021357742,-0.023857979,2.867143191,0.01421534
